time;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____3_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____3_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____3_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____3_SM_generator_running;_LOAD___3_EC_load_PPu;_LOAD___3_EC_load_QPu;_LOAD___4_EC_load_PPu;_LOAD___4_EC_load_QPu;_LOAD___9_EC_load_PPu;_LOAD___9_EC_load_QPu;_LOAD__10_EC_load_PPu;_LOAD__10_EC_load_QPu;_LOAD__11_EC_load_PPu;_LOAD__11_EC_load_QPu;
800.000000;0.974954;0.929389;0.978946;1.022651;0.968408;0.959462;0.954063;0.939253;1.005642;1.005642;180.426803;6.415276;15.078439;25.409387;1.000000;0.893398;0.173944;0.417170;-0.031084;0.259092;0.133709;0.078504;0.046186;0.030018;0.013936;
800.001177;0.975013;0.929465;0.978999;1.022675;0.968465;0.959519;0.954119;0.939309;1.005631;1.005636;180.401624;6.453139;15.078853;25.393763;1.000000;0.893479;0.173971;0.417221;-0.031091;0.259115;0.133729;0.078510;0.046192;0.030020;0.013938;
800.002354;0.975071;0.929540;0.979052;1.022699;0.968522;0.959575;0.954175;0.939364;1.005619;1.005631;180.376244;6.490947;15.079102;25.378314;1.000000;0.893559;0.173996;0.417272;-0.031097;0.259138;0.133748;0.078517;0.046199;0.030023;0.013940;
800.003531;0.975127;0.929615;0.979104;1.022723;0.968577;0.959630;0.954230;0.939418;1.005608;1.005625;180.350663;6.528702;15.079189;25.363035;1.000000;0.893637;0.174022;0.417322;-0.031103;0.259160;0.133768;0.078524;0.046206;0.030026;0.013942;
800.005885;0.975239;0.929762;0.979206;1.022770;0.968687;0.959739;0.954338;0.939525;1.005585;1.005614;180.299056;6.604098;15.079010;25.332862;1.000000;0.893789;0.174071;0.417421;-0.031115;0.259204;0.133806;0.078537;0.046219;0.030031;0.013946;
800.008239;0.975346;0.929906;0.979307;1.022816;0.968795;0.959845;0.954444;0.939630;1.005562;1.005603;180.246734;6.679325;15.078266;25.303283;1.000000;0.893937;0.174119;0.417518;-0.031127;0.259247;0.133843;0.078551;0.046232;0.030036;0.013949;
800.010593;0.975449;0.930047;0.979405;1.022861;0.968900;0.959949;0.954547;0.939732;1.005540;1.005591;180.193649;6.754393;15.076925;25.274322;1.000000;0.894079;0.174165;0.417613;-0.031139;0.259289;0.133879;0.078563;0.046244;0.030041;0.013953;
800.015301;0.975644;0.930320;0.979594;1.022947;0.969103;0.960150;0.954747;0.939930;1.005494;1.005568;180.085218;6.904160;15.072532;25.218131;1.000000;0.894347;0.174252;0.417797;-0.031162;0.259371;0.133949;0.078588;0.046268;0.030050;0.013961;
800.020009;0.975824;0.930581;0.979776;1.023029;0.969298;0.960343;0.954939;0.940120;1.005449;1.005544;179.973844;7.053537;15.065962;25.164116;1.000000;0.894595;0.174333;0.417973;-0.031184;0.259449;0.134017;0.078612;0.046292;0.030059;0.013968;
800.024716;0.975991;0.930831;0.979950;1.023107;0.969485;0.960528;0.955123;0.940302;1.005403;1.005520;179.859621;7.202666;15.057358;25.112095;1.000000;0.894824;0.174407;0.418141;-0.031205;0.259524;0.134081;0.078634;0.046314;0.030068;0.013974;
800.029424;0.976146;0.931072;0.980117;1.023181;0.969664;0.960706;0.955299;0.940476;1.005358;1.005495;179.742644;7.351676;15.046859;25.061895;1.000000;0.895037;0.174477;0.418304;-0.031225;0.259596;0.134143;0.078656;0.046335;0.030076;0.013981;
